id;client_id;name;description;vat_pct;template;status
1;3;Audit Support - Gan Direct;Actuarial Review: IFRS17 Transition Impact and subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement;19.0;Template-1;Active
2;4;Hydra Review Support;(blank);19.0;template1_v3;Active
3;5;IFRS17 - Local Assistance;Local Assistance Extra Scope;0.0;template2_v3;Active
4;5;IFRS17 - P1;Project 1 Project Management;0.0;template2_v3;Active
5;5;IFRS17 - P2;Project 2 Project Management;0.0;template2_v3;Active
6;5;Prophet Training;Prophet Training;0.0;template2_v3;Active
7;5;TVOG Re-calc;TVOG Re-calc;0.0;template2_v3;Completed
8;5;IFRS17 - Appendix II - Quantifications;Quantifications: bundling Riders & VFA for UL;;Template-2;Active
9;6;Additional Tasks;Non standard requests - bill separately;19.0;template1_v3;Active
10;6;Economic Scenarios;Economic Scenarios;19.0;template1_v3;Active
11;6;Financial Reporting - IFRS;IFRS17 TRN, Valuations, Disclosures;19.0;Template-1;Active
12;6;Financial Reporting - IFRS - Group;Group IFRS17 TRN, Valuations, Disclosures;19.0;Template-1;Active
13;6;Market Risk Calcs;SII support;19.0;template1_v3;Active
14;7;Assumptions & Technical Provisions Validation;PMO;;Template-2;Active
15;8;ESG;ESG;0.0;template2_v3;Active
16;9;Appendix I-II;NL-specific appendix II scope;0.0;template2_v3;Active
17;9;Economic Scenarios;(blank);;Template-2;Active
18;9;IFRS17 VFA Eligibility;IFRS17 VFA Eligibility;0.0;template2_v3;Completed
19;9;Methodology;IFRS17 - Methodology Budget;0.0;template2_v3;Active
20;9;Reinsurance - Life;Reinsurance - Life;0.0;template2_v3;On Hold
21;9;Treatment of policyholders’ loans under IFRS17;Treatment of policyholders’ loans under IFRS17;0.0;template2_v3;Completed
22;9;Turbo ALM - License;;0.0;template2_v3;Active
23;10;Reinsurance - Opinion;RI Analysis 2023;19.0;template1_v3;Completed
24;11;Audit Support - KLPP;Actuarial Review - Transition and YE22 review;19.0;Template-1;Active
25;11;Audit Support - Asomic;Actuarial Review - Transition and YE22 review;19.0;Template-1;Active
26;12;IFRS17 Support;PMO;19.0;template1_v3;Completed
27;3;test BT;DESCRIPTION OF TEST BT;19.0;template1;Active
28;3;test BT NEW;DESCRIPTION OF TEST BT;19.0;template1;Active
29;3;test BT NEW 2026;DESCRIPTION OF TEST BT;19.0;template1;Active
30;5;Unbundling / VFA Quantification impact;Unbundling / VFA Quantification impact;0.0;template2_v3;Active
31;5;Project UL;Proj_UL: WS1 - Modelling of UL products and riders;0.0;template2_v3;Active
32;9;IFRS17 - Main;Assumptions / Methodology;0.0;template2_v3;Completed
33;9;IFRS17 - Additional;Prophet additional scope 1 (OMC, NLST riders, pensioners);0.0;template2_v3;Completed
34;9;HIA;HIA-2020 (EIOPA Holistic Impact Assessment 2020) assistance;0.0;template2_v3;Completed
35;9;AFH Review;AFH_Review_2020;0.0;template2_v3;Completed
36;9;Fair Value - IFRS17;Fair value approach (Life);0.0;template2_v3;Completed
37;9;IFRS17 Life – WoP Claims;IFRS17 Life – WoP Claims;0.0;template2_v3;Completed
38;9;UAT;IFRS17- User Acceptance Tests;0.0;template2_v3;Completed
39;9;IFRS17 Documentation;IFRS17 Documentation Project - Life;0.0;template2_v3;Completed
40;8;ORSA;ORSA;0.0;template2_v3;Completed
41;8;TIPP product;Market consistent scenario solution for valuation of TIPP product;0.0;template2_v3;Completed
42;8;SoW_2021-05 Secondment Resources;Secondment Resources for IFRS17 implementation;0.0;template2_v3;Completed
43;8;SoW_2022-06 Fair Value - IFRS17;Fair Value - IFRS17;0.0;template2_v3;Completed
44;7;Validation TP_Assumptions  2023;PMO;0.0;template2_v3;Completed
45;7;Validation TP_Assumptions  2024;PMO;0.0;template2_v3;Active
46;6;IFRS17 TRN, Valuations, Disclosures;PMO;19.0;template1_v3;Active
47;42;Tool development;Tool development;19.0;template1_v3;Active
48;11;Audit Support-Asomic & KLPP;Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement;19.0;template1_v3;Completed
49;3;Audit Support-GAN;Actuarial Review: IFRS17 subsequent valuations & SII/IFRS4 (2023-2025) – Subcontractor Agreement;19.0;template1_v3;Active
50;41;MM Expert Witness;MM Expert Witness;19.0;template1_v3;Completed
51;40;Review of IFRS17 Impl. (TRN-2024);IFRS17 Impl.: Review and simulation;0.0;template2_v3;Active
